date,Gb(i),Gd(i),H_sun,T2m,WS10m,Wdir,Humidity,Pressure
1/1/2018,3187.55,898.37,15.073333333333332,11.547777777777778,9.05,285.55555555555554,63.0,1020.1444444444444
2/1/2018,2617.27,887.88,15.147777777777776,10.875555555555556,8.04,310.0,56.22222222222222,1022.6555555555556
3/1/2018,1756.67,945.71,15.226666666666667,15.497777777777777,10.267777777777777,261.1111111111111,68.44444444444444,1016.8888888888889
4/1/2018,3087.55,936.08,15.313333333333333,15.908888888888889,11.761111111111111,277.77777777777777,66.88888888888889,1014.3222222222222
5/1/2018,3369.42,862.01,15.408888888888889,14.043333333333333,2.7744444444444443,171.11111111111111,68.11111111111111,1008.1333333333334
6/1/2018,1834.03,820.76,15.507777777777777,13.46888888888889,8.268888888888888,85.55555555555556,61.333333333333336,1006.3222222222222
7/1/2018,1966.52,1000.14,15.614444444444445,15.145555555555555,12.764444444444443,66.66666666666667,52.44444444444444,1006.7111111111111
8/1/2018,460.29,584.49,15.72888888888889,12.95,7.095555555555555,67.77777777777777,56.77777777777778,1010.0111111111112
9/1/2018,2366.27,995.59,15.848888888888887,12.134444444444444,6.521111111111111,160.0,66.88888888888889,1015.9444444444445
10/1/2018,3121.77,1024.36,15.975555555555555,11.947777777777778,1.511111111111111,191.11111111111111,62.0,1013.688888888889
11/1/2018,2105.3,1131.73,16.108888888888888,10.063333333333333,5.678888888888888,327.77777777777777,73.0,1011.9111111111112
12/1/2018,3954.16,889.03,16.246666666666666,9.584444444444445,5.088888888888889,173.33333333333334,65.77777777777777,1018.9111111111112
13/1/2018,2942.48,869.18,16.392222222222223,10.395555555555555,4.321111111111112,106.66666666666667,69.77777777777777,1020.9333333333333
14/1/2018,1957.75,973.96,16.543333333333333,11.457777777777778,7.8100000000000005,73.33333333333333,65.0,1017.6111111111111
15/1/2018,2463.67,940.87,16.702222222222222,10.436666666666667,2.7344444444444442,94.44444444444444,67.0,1022.4444444444445
16/1/2018,1469.71,955.25,16.863333333333333,13.502222222222223,9.501111111111111,230.0,68.77777777777777,1015.8333333333334
17/1/2018,3940.5699999999997,898.25,17.035555555555554,11.895555555555555,12.566666666666666,302.22222222222223,43.0,1016.311111111111
18/1/2018,2962.45,1055.69,17.20888888888889,10.768888888888888,8.076666666666666,273.3333333333333,63.22222222222222,1021.6333333333334
19/1/2018,3772.67,944.99,17.391111111111112,12.57,8.328888888888889,298.8888888888889,63.111111111111114,1015.5
20/1/2018,1354.01,818.1,17.577777777777776,9.79,6.811111111111111,273.3333333333333,63.0,1017.6777777777778
21/1/2018,3727.71,899.68,17.77,13.476666666666667,11.057777777777778,320.0,48.666666666666664,1014.4000000000001
22/1/2018,3378.06,941.81,16.187,14.419999999999998,10.001000000000001,291.0,61.5,1018.49
23/1/2018,4308.5,929.92,16.394,12.950999999999999,9.711,328.0,48.8,1022.5200000000001
24/1/2018,2785.29,1120.21,16.603,12.492,6.503,83.0,66.1,1028.8899999999999
25/1/2018,1302.18,1098.94,16.817,13.013,8.035,112.0,68.9,1022.0799999999999
26/1/2018,111.58,610.89,17.038,12.395999999999999,8.139,77.0,79.9,1014.3399999999999
27/1/2018,2702.2599999999998,1007.9300000000001,17.262,12.684999999999999,4.689,135.0,84.3,1028.08
28/1/2018,4439.82,966.14,17.491,10.943000000000001,3.061,177.0,77.7,1035.97
29/1/2018,3550.92,1099.82,17.725,10.356,0.819,205.0,76.3,1033.3899999999999
30/1/2018,4243.84,1038.24,17.963,10.062000000000001,3.6410000000000005,142.0,72.4,1028.5700000000002
31/1/2018,3832.81,1048.66,18.206,10.067,1.8559999999999999,240.0,74.6,1023.6200000000001
1/2/2018,201.47,934.8299999999999,18.455,9.992,6.006,276.0,86.2,1008.45
2/2/2018,1210.84,1518.79,18.707,8.09,8.137,221.0,59.3,1004.5600000000001
3/2/2018,4694.61,1059.27,18.961000000000002,8.268,12.4,309.0,51.3,1006.15
4/2/2018,4814.97,1003.76,19.223,8.264,1.841,189.0,53.5,1013.04
5/2/2018,230.35,1007.07,19.485,9.898,10.985,66.0,62.9,1012.86
6/2/2018,501.32,1007.63,19.753,9.847,7.226999999999999,64.0,72.7,1007.99
7/2/2018,4858.7699999999995,1055.73,20.024,6.5760000000000005,10.311,299.0,58.5,1009.9
8/2/2018,4928.3,1073.34,20.299,6.259,7.359,293.0,60.0,1016.9100000000001
9/2/2018,4912.71,1083.53,20.578,5.926,3.6079999999999997,276.0,68.7,1016.5799999999999
10/2/2018,4660.35,1096.47,20.86,8.007,9.216,233.0,51.5,1013.76
11/2/2018,3384.87,1221.59,21.144,8.119,7.045999999999999,285.0,54.6,1013.43
12/2/2018,5329.8,1069.05,21.435,8.09,11.447999999999999,317.0,43.9,1014.7299999999999
13/2/2018,3867.41,1346.15,21.726,5.902,4.551,256.0,45.7,1014.35
14/2/2018,4436.87,1301.27,22.021,8.267999999999999,6.157,290.0,54.1,1016.0200000000001
15/2/2018,1289.34,1026.25,22.317,9.783,2.372,243.0,74.5,1022.32
16/2/2018,2647.33,1619.79,22.616999999999997,11.945,1.316,202.0,77.1,1023.4100000000001
17/2/2018,696.6,797.04,22.923,12.141,5.38,181.0,87.2,1019.96
18/2/2018,4117.35,1256.29,23.227,9.382,10.407,240.0,55.0,1017.7700000000001
19/2/2018,4240.67,1201.77,23.535,9.965,2.255,230.0,63.3,1016.1600000000001
20/2/2018,5148.78,1144.43,23.846,9.269,8.206999999999999,286.0,41.3,1008.3799999999999
21/2/2018,3559.15,1288.49,24.157,6.968000000000001,6.188000000000001,272.0,62.3,1008.39
22/2/2018,2160.29,1802.94,24.472,6.705,4.7509999999999994,153.0,54.0,1005.4200000000001
23/2/2018,2656.31,1789.3899999999999,24.789,7.419,4.912,197.0,55.2,1005.5799999999999
24/2/2018,33.459999999999994,851.47,22.850909090909088,6.732727272727273,2.8954545454545455,228.1818181818182,80.81818181818181,1008.0818181818181
25/2/2018,2357.03,1190.89,23.167272727272728,8.740909090909092,4.903636363636363,220.9090909090909,68.36363636363636,1008.0090909090909
26/2/2018,3794.7000000000003,1201.73,23.485454545454548,3.511818181818182,6.9781818181818185,76.36363636363636,38.09090909090909,1008.2181818181817
27/2/2018,3211.46,1305.74,23.80636363636364,1.4781818181818183,3.9563636363636365,67.27272727272727,40.45454545454545,1009.0090909090909
28/2/2018,38.43,953.42,24.127272727272725,5.249090909090909,12.481818181818182,63.63636363636363,56.54545454545455,1007.5181818181819
1/3/2018,1149.54,1405.21,24.45090909090909,7.50909090909091,14.944545454545453,60.90909090909091,64.81818181818181,997.1181818181819
2/3/2018,4268.54,1081.9,24.777272727272727,10.587272727272726,8.57181818181818,227.27272727272728,67.45454545454545,997.1
3/3/2018,4729.1,1270.93,25.10545454545455,12.79090909090909,5.574545454545454,268.1818181818182,69.72727272727273,995.1363636363636
4/3/2018,546.48,967.42,25.431818181818183,11.871818181818183,6.720909090909092,78.18181818181819,71.18181818181819,998.7181818181817
5/3/2018,917.62,1091.3899999999999,25.76,11.05181818181818,10.030909090909091,61.81818181818182,72.36363636363636,993.8
6/3/2018,4075.09,1405.89,26.09,11.266363636363637,4.632727272727273,190.0,74.27272727272727,994.4727272727273
7/3/2018,5310.3,1289.8799999999999,24.224999999999998,10.856666666666667,9.063333333333333,276.6666666666667,61.75,1003.8833333333333
8/3/2018,2250.95,1843.16,24.546666666666667,11.435,3.375,140.0,64.08333333333333,1010.8833333333333
9/3/2018,2511.1,1633.37,24.87,12.58,6.305833333333333,94.16666666666667,66.08333333333333,1014.5583333333334
10/3/2018,2209.23,1462.51,25.194999999999997,13.5875,9.5575,69.16666666666667,69.41666666666667,1008.7916666666666
11/3/2018,3815.85,1428.83,25.516666666666666,14.221666666666666,8.102500000000001,162.5,73.66666666666667,998.7333333333332
12/3/2018,4749.2,1450.79,25.8425,13.3025,8.385,270.0,64.41666666666667,1005.8083333333334
13/3/2018,4991.67,1564.26,26.166666666666668,12.028333333333334,7.8325,255.0,60.0,1012.8083333333334
14/3/2018,5855.71,1217.93,26.49083333333333,11.584166666666667,3.795,136.66666666666666,53.833333333333336,1011.2333333333332
15/3/2018,2499.3,1199.96,26.8175,13.980833333333335,6.9941666666666675,147.5,78.16666666666667,997.5333333333333
16/3/2018,4487.87,1588.81,27.140833333333333,12.64,2.1158333333333332,137.5,67.08333333333333,1002.6999999999999
17/3/2018,5854.09,1247.46,27.465,11.330833333333333,5.415,260.0,68.66666666666667,997.1083333333332
18/3/2018,3667.59,2036.02,27.78833333333333,10.82,8.6775,306.6666666666667,56.75,995.9499999999999
19/3/2018,6370.66,1150.17,28.111666666666665,10.1975,8.269166666666667,228.33333333333334,46.75,1002.775
20/3/2018,4015.2999999999997,1887.77,28.435833333333335,9.743333333333334,8.248333333333333,318.3333333333333,55.0,1004.1666666666666
21/3/2018,1825.11,1821.52,28.757499999999997,7.13,7.5566666666666675,240.0,55.666666666666664,1016.4499999999999
22/3/2018,6397.66,1178.47,29.08083333333333,8.885,9.374166666666667,313.3333333333333,38.5,1014.1333333333333
23/3/2018,6377.43,1143.57,29.402500000000003,11.4125,7.07,228.33333333333334,49.083333333333336,1005.125
24/3/2018,1617.95,1885.3799999999999,29.72083333333333,12.130833333333333,8.673333333333334,66.66666666666667,48.916666666666664,998.8083333333334
25/3/2018,3163.13,2081.34,30.040833333333335,12.238333333333335,3.265,272.5,53.083333333333336,1006.6833333333334
26/3/2018,6205.27,1176.69,30.36,13.989166666666668,8.7475,324.1666666666667,48.75,1011.3083333333334
27/3/2018,4764.73,1811.76,30.6775,12.604166666666666,9.4125,278.3333333333333,56.666666666666664,1016.75
28/3/2018,5493.76,1373.1000000000001,30.991666666666664,14.710833333333333,7.3116666666666665,276.6666666666667,62.583333333333336,1012.7833333333333
29/3/2018,3288.8,1840.48,31.308333333333334,13.886666666666665,3.9941666666666666,226.66666666666666,68.25,1008.2583333333333
30/3/2018,3843.95,1691.5,29.198461538461537,13.245384615384616,8.483846153846155,153.84615384615384,64.84615384615384,1002.2923076923076
31/3/2018,5457.01,1488.31,29.51153846153846,12.324615384615385,5.693846153846153,283.0769230769231,56.38461538461539,999.5
1/4/2018,6549.86,1157.6299999999999,29.822307692307692,12.083076923076922,8.833076923076923,269.2307692307692,46.92307692307692,1014.6153846153846
2/4/2018,3135.23,2443.65,30.13230769230769,12.870000000000001,6.403076923076923,77.6923076923077,58.38461538461539,1013.5846153846154
3/4/2018,2412.85,2209.42,30.44076923076923,14.516153846153847,11.608461538461539,74.61538461538461,45.07692307692308,1009.4538461538461
4/4/2018,2994.4,1926.27,30.746923076923075,14.546153846153846,8.831538461538461,124.61538461538461,66.84615384615384,1009.7230769230769
5/4/2018,6272.24,1222.58,31.05461538461538,14.563846153846155,7.633846153846154,273.84615384615387,55.30769230769231,1017.1692307692308
6/4/2018,6362.47,1184.97,31.355384615384615,13.96923076923077,5.406923076923078,80.0,61.38461538461539,1017.7384615384616
7/4/2018,2425.44,2341.09,31.65615384615385,16.490000000000002,9.161538461538463,73.07692307692308,38.30769230769231,1013.2538461538461
8/4/2018,3015.9500000000003,1777.8600000000001,31.955384615384617,15.924615384615386,12.446153846153846,71.53846153846153,35.61538461538461,1006.0538461538462
9/4/2018,3755.59,1564.04,32.253076923076925,13.766153846153847,6.174615384615384,128.46153846153845,68.23076923076923,1007.4769230769232
10/4/2018,4495.09,1724.17,32.54615384615385,13.472307692307691,7.775384615384615,74.61538461538461,64.0,1006.2615384615384
11/4/2018,28.53,802.28,32.83846153846154,12.443076923076923,11.845384615384615,109.23076923076923,77.46153846153847,1000.3384615384615
12/4/2018,1622.99,1911.95,33.12923076923077,11.396923076923077,7.458461538461539,81.53846153846153,78.84615384615384,1000.9153846153846
13/4/2018,2338.63,2014.45,33.41692307692308,13.405384615384616,7.75,111.53846153846153,61.84615384615385,1013.1846153846153
14/4/2018,2850.75,2314.65,33.70153846153846,16.03153846153846,5.098461538461539,266.9230769230769,59.30769230769231,1016.2846153846154
15/4/2018,5899.87,1316.8899999999999,33.98461538461539,16.006153846153847,4.545384615384616,183.07692307692307,61.23076923076923,1010.2076923076924
16/4/2018,2727.45,2708.31,34.26615384615384,16.90230769230769,4.859230769230769,243.07692307692307,57.69230769230769,1012.4384615384616
17/4/2018,6024.22,1229.8899999999999,34.542307692307695,17.220000000000002,1.863076923076923,104.61538461538461,53.23076923076923,1020.9153846153846
18/4/2018,5939.88,1247.37,34.815384615384616,19.16,3.3,83.84615384615384,43.84615384615385,1025.5538461538463
19/4/2018,6189.99,1197.49,35.08769230769231,18.67,2.09,101.53846153846153,46.38461538461539,1025.5538461538463
